Layer,Group,Category,Subcategory,Term,Subterm,,,,,,,,,,,,
,,,Contemporary Continuation & Revisions,Neo-Functionalism,—,,,,,,,,,,,,
,,,,Stylistic Design; Style-ism,—,,,,,,,,,,,,
,,,,Neo-Modernism,—,,,,,,,,,,,,
,,,,Parametricism; Post-Parametricism,—,,,,,,,,,,,,
,Group 21,Visual Language & Composition,Visual Communication & Graphic Language,Visual Design; Visual Communication Design,—,,,,,,,,,,,,
,,,,Communication Design,—,,,,,,,,,,,,
,,,,Graphic Design,—,,,,,,,,,,,,
,,,,Visual Culture; Visual Culture Studies,—,,,,,,,,,,,,
,,,,Motion Design; Motion Graphics,—,,,,,,,,,,,,
,,,Visual Composition & Abstraction,Design Elements,Visual Design Elements; Spatial Design Elements; Interactive Design Elements,,,,,,,,,,,,
,,,,Visual Composition,Spatial Composition; Colour Composition; Dynamic Composition; Digital Composition; Two-Dimensional Composition; Three-Dimensional Composition,,,,,,,,,,,,
,,,,Design Composition; Compositional Design; Compositional Thinking; Compositional Aesthetics; Design as Composition,—,,,,,,,,,,,,
,,,,Configurational Design; Configurative Design,—,,,,,,,,,,,,
,,,,Abstract Design,—,,,,,,,,,,,,
,,,,Elemental Design,—,,,,,,,,,,,,
,,,Ornamental & Pattern System,Ornamentation Design; Ornament Design,—,,,,,,,,,,,,
,,,,Applied Ornamentation; Architectural Ornament; Product Ornamentation,—,,,,,,,,,,,,
,,,,Decorative Design,—,,,,,,,,,,,,
,,,,Pattern Design; Textile Pattern Design; Graphic Pattern Design,—,,,,,,,,,,,,
,,,,Motif Design; Repetitive Pattern Design,—,,,,,,,,,,,,
,,,,Surface Design; Surface Finishing Design; Material Finishing Design,—,,,,,,,,,,,,
,,,Colour Theory in Design,Colour Theory,—,,,,,,,,,,,,
,,,,Colour and Design; Design Colour,—,,,,,,,,,,,,
,,,,Colour Psychology,—,,,,,,,,,,,,
,,,,Colour Symbolism,—,,,,,,,,,,,,
,,,,Colour Semiotics,—,,,,,,,,,,,,
,,,,Colour Harmony,—,,,,,,,,,,,,
,,,,Colour Interaction,—,,,,,,,,,,,,
,,,Stylistic Design & Visual Expression,Style-Driven Design; Stylistic Design,—,,,,,,,,,,,,
,,,,Industrial Aesthetics,—,,,,,,,,,,,,
,,,,Retro Design; Vintage Design; Retrospective Design,—,,,,,,,,,,,,
,,,,Contemporary Styling; Neo-Retro; Minimalist Aesthetics; Maximalism,—,,,,,,,,,,,,
,,Form & Semiotics,Form Theory & Formal Expression,Form-Giving; Formgiving,—,,,,,,,,,,,,
,,,,Shape Engineering; Form Engineering,—,,,,,,,,,,,,
,,,,Shape Grammars,—,,,,,,,,,,,,
,,,,Form Theory,—,,,,,,,,,,,,
,,,,Formalism in Design; Formalist Design; Form-Centric Design; Form beyond function,—,,,,,,,,,,,,
,,,,Anti-Formalism; Post-Formalism; Anti-Formalist Design; Post-Formalist Design,—,,,,,,,,,,,,
,,,,Styling Design; Product Styling,—,,,,,,,,,,,,
,,,Design Semantics & Semiotics,Product Semantics; Design Semantics; Semantic Design,—,,,,,,,,,,,,
,,,,Design Semiotics; Product Semiotics; Semiotic Design,—,,,,,,,,,,,,
,,,,Symbolic Design; Symbolism in Design,—,,,,,,,,,,,,
,,,,Indexical Design; Indexical Signs in Design,—,,,,,,,,,,,,
,,,,Semantic Turn,—,,,,,,,,,,,,
,,,,Pragmatic Design; Design Pragmatics,—,,,,,,,,,,,,
,,,Design Metaphor & Rhetoric,Design Metaphor; Metaphorical Design,—,,,,,,,,,,,,
,,,,Metaphorical Thinking; Metaphor-Based Design Thinking,—,,,,,,,,,,,,
,,,,Design Rhetoric; Rhetorical Design,—,,,,,,,,,,,,
,,,,Figurative Design,—,,,,,,,,,,,,
,,,,Poetic Design; Design Poetics,—,,,,,,,,,,,,
,,,,Implicit Design,—,,,,,,,,,,,,
,,,,Tropological Design,—,,,,,,,,,,,,
,,Narrative & Critical Visual Strategies,Critical Visual Strategies,Culture Jamming; Subvertising Design; Adbusting Design; Anti-Advertising Design,—,,,,,,,,,,,,
,,,,Détournement,—,,,,,,,,,,,,
,,,,Iconoclasm; Iconoclastic Design,—,,,,,,,,,,,,
,,,,Non-Branding; No-Brand Design; Unbranded Design; Anti-Branding Design; White-Label Design,—,,,,,,,,,,,,
,,,,Post-Truth Design,—,,,,,,,,,,,,
,,,,Poststructuralist Design; Poststructuralism,—,,,,,,,,,,,,
,,,,Cultural Mimicry Design; Postcolonial Mimicry,—,,,,,,,,,,,,
,,,,Countervisuality; Visuality,—,,,,,,,,,,,,
,,,,Pastiche in Design,—,,,,,,,,,,,,
,,,,Glitch Aesthetics; Glitch Art; Error Aesthetics,—,,,,,,,,,,,,
,,,"Narrative, Interpretation & Reception in Design",Narrative Design; Narrative-Driven Design,—,,,,,,,,,,,,
,,,,Narrative Architecture; Narrative Environment Design,—,,,,,,,,,,,,
,,,,Experiential Narrative; Experience Narrative,—,,,,,,,,,,,,
,,,,Nonlinear Narrative,—,,,,,,,,,,,,
,,,,Participatory Narrative; Interactive Narrative,—,,,,,,,,,,,,
,,,,Storytelling; Storytelling Design; Visual Storytelling,—,,,,,,,,,,,,
,,,,Expressive Design,—,,,,,,,,,,,,
,,,,Hermeneutic; Interpretive Design,—,,,,,,,,,,,,
,,,,Reception Theory; Reception; Reception Studies,—,,,,,,,,,,,,
,,,,Diegetic Design; Diegesis,—,,,,,,,,,,,,
,Group 22,"Fashion, Apparel & Textile Design",Fashion Design,Sustainable Fashion Design; Ethical Fashion Design; Responsible Fashion Design,—,,,,,,,,,,,,
,,,,Circular Fashion Design,—,,,,,,,,,,,,
,,,,Zero-Waste Fashion Design,—,,,,,,,,,,,,
,,,,Regenerative Fashion Design,—,,,,,,,,,,,,
,,,,Slow Fashion Design,—,,,,,,,,,,,,
,,,,Inclusive Fashion Design; Adaptive Fashion Design; Universal Fashion Design,—,,,,,,,,,,,,
,,,,Digital Fashion Design; 3D Fashion Design,—,,,,,,,,,,,,
,,,,Virtual Fashion Design; Metaverse Fashion,—,,,,,,,,,,,,
,,,,NFT Fashion; Tokenised Fashion Assets,—,,,,,,,,,,,,
,,,,Phygital Fashion Design,—,,,,,,,,,,,,
,,,,Fashion-as-a-Service (FaaS); Rental Fashion Design; Subscription Fashion Design,—,,,,,,,,,,,,
,,,,Resale-Ready Design; Recommerce-Ready Design,—,,,,,,,,,,,,
,,,,Co-Brand Fashion Design; Collab-Driven Fashion Design,—,,,,,,,,,,,,
,,,Apparel Design,Haute Couture Design; Couture Design; High-Fashion Design; Bio-Couture,—,,,,,,,,,,,,
,,,,Techno-Couture,—,,,,,,,,,,,,
,,,,Tailored Apparel Design,—,,,,,,,,,,,,
,,,,Architectural Apparel Design; Sculptural Apparel Design,—,,,,,,,,,,,,
,,,,Bias-Cut Fashion Design; Drape-Led Fashion Design,—,,,,,,,,,,,,
,,,,Seamless-Look Design,—,,,,,,,,,,,,
,,,,Volume-Play Fashion Design,—,,,,,,,,,,,,
,,,,Cut-Out Fashion Design,—,,,,,,,,,,,,
,,,,Surface-Manipulation Design,—,,,,,,,,,,,,
,,,,Layering-Systems Design,—,,,,,,,,,,,,
,,,,Modular Apparel Design; Convertible Apparel Design; Transformable Apparel Design,—,,,,,,,,,,,,
,,,,Performance Apparel Design; Functional Apparel Design; Ergonomic Apparel Design,—,,,,,,,,,,,,
,,,,Adaptive Apparel Design,—,,,,,,,,,,,,
,,,,Protective Apparel Design; Safety Apparel Design,—,,,,,,,,,,,,
,,,Textile & Fabric Design,Textile Design; Fabric Design,—,,,,,,,,,,,,
,,,,Weaving Design; Jacquard Design; Knitting Design,—,,,,,,,,,,,,
,,,,Embroidery Design; Lace Design; Appliqué Design,—,,,,,,,,,,,,
,,,,Dyeing & Printing Design; Batik Design,—,,,,,,,,,,,,
,,,,Seamless Knit Design; 3D Knit Design,—,,,,,,,,,,,,
,,,,Smart Textile Design; E-Textile Design; Interactive Textile Design; Responsive Textile Design,—,,,,,,,,,,,,
,,,,Shape-Memory Textile Design; Responsive Textile Design,—,,,,,,,,,,,,
,,,,Conductive Fabric Design; Sensor-Embedded Fabric Design,—,,,,,,,,,,,,
,,,,Textile Art Design,—,,,,,,,,,,,,
,,,,Nonwoven Textile Design,—,,,,,,,,,,,,
,,,,Digital Textile Design,—,,,,,,,,,,,,
,Group 23,Philosophical & Spiritual Design,Transcendence & Spirituality,Transcendental Design; Design for Transcendence,—,,,,,,,,,,,,
,,,,Sacred Design; Design for the Sacred; Sacredness in Design,—,,,,,,,,,,,,
,,,,Spiritual Design; Design for Spirituality; Spirituality in Design,—,,,,,,,,,,,,
,,,,Mindful Design; Mindfulness Design; Design for Mindfulness,—,,,,,,,,,,,,
,,,,Contemplative Design,—,,,,,,,,,,,,
,,,,Cosmic Design; Cosmic-Oriented Design; Astrodesign,—,,,,,,,,,,,,
,,,,Transcendent Design,—,,,,,,,,,,,,
,,,,Liminal Design; Liminality,—,,,,,,,,,,,,
,,,Authenticity,Authentic Design; Design Authenticity,—,,,,,,,,,,,,
,,,,Honest Design; Design Honesty,—,,,,,,,,,,,,
,,,,Truthful Design; Design Truthfulness,—,,,,,,,,,,,,
,,,,Inherent Design; Inherenteness in Design,—,,,,,,,,,,,,
,,,Meaningfulness & Existence,Design for Meaning; Meaningful Design,—,,,,,,,,,,,,
,,,,Design for Meaningfulness,—,,,,,,,,,,,,
,,,,Meaning-Making Design; Design for Meaning-Making,—,,,,,,,,,,,,
,,,,Design for Personal Meaning,—,,,,,,,,,,,,
,,,,Meaningful Experience Design,—,,,,,,,,,,,,
,,,,Meaningful Attachment Design,—,,,,,,,,,,,,
,,,,Existential Design; Design for Existence,—,,,,,,,,,,,,
,,,,Ontological Design,—,,,,,,,,,,,,
,,Materiality/Materialism/Digitality in Design,Materiality & Material Culture,Material Culture; Material Culture Studies,—,,,,,,,,,,,,
,,,,Design Materiality; Materiality in Design,—,,,,,,,,,,,,
,,,,Material-Driven Design; Material-Led Design; Material-Oriented Design,—,,,,,,,,,,,,
,,,,Materials Experience,—,,,,,,,,,,,,
,,,,Material Engagement Theory (MET); Material Engagement in Cognition; Material Engagement in Design,—,,,,,,,,,,,,
,,,,Material Practice,—,,,,,,,,,,,,
,,,,Material Agency,—,,,,,,,,,,,,
,,,,Materiality Theory,—,,,,,,,,,,,,
,,,,Materiality in Design Process,—,,,,,,,,,,,,
,,,,New Materialism,—,,,,,,,,,,,,
,,,Immateriality & Intangible Design,Intangible Design; Design for Intangibles,—,,,,,,,,,,,,
,,,,Immaterial Design; Design Immateriality,—,,,,,,,,,,,,
,,,,Immaterial Interaction,—,,,,,,,,,,,,
,,,Post-Material Turn,Post-Material Design; Post-Materialistic Design,—,,,,,,,,,,,,
,,,,Post-Materialism; Post-Materialist Values,—,,,,,,,,,,,,
,,,,Post-Material Culture,—,,,,,,,,,,,,
,,,Digitality & Postdigitality,Digital Culture,—,,,,,,,,,,,,
,,,,Post-Digitality; Post-Digital Culture,—,,,,,,,,,,,,
,,,,Post-Digital Design,—,,,,,,,,,,,,
,,Human-/Non-Human-Centric Philosophies,Anthropocentrism in Design,Anthropocentric Design; Anthropocentrism in Design,—,,,,,,,,,,,,
,,,Life-/Eco-Centrism in Design,Life-Centred Design; Life-Centric Design; Bio-Centric Design,—,,,,,,,,,,,,
,,,,Ecocentric Design; Eco-Centric Design,—,,,,,,,,,,,,
,,,,Symbiocene Design; Design for the Symbiocene,—,,,,,,,,,,,,
,,,,Biosphere Design,—,,,,,,,,,,,,
,,,Earth-/Planet-/Universe-Centrism in Design,Gaian Design; Gaia Design,—,,,,,,,,,,,,
,,,,Earth System Design; Earth Systems Engineering & Management (ESEM),—,,,,,,,,,,,,
,,,,Planetary Design; Planetary-Scale Design,—,,,,,,,,,,,,
,,,,Planetary Boundaries Design; Design within Planetary Boundaries; Safe Operating Space Design,—,,,,,,,,,,,,
,,,,Planetary Health Design,—,,,,,,,,,,,,
,,,,Geoengineering Design,—,,,,,,,,,,,,
,,,,Cosmocentric Design; Universe-Centred Design,—,,,,,,,,,,,,
,,,Beyond Human-Centrism in Design,More-than-Human Design; More-than-Human-Centric Design; More-than-Human-Centred Design,—,,,,,,,,,,,,
,,,,Posthuman Design; Post-Humanist Design,—,,,,,,,,,,,,
,,,,Anthropocene Design; Design in the Anthropocene; Design for the Anthropocene,—,,,,,,,,,,,,
,,,,Post-Anthropocentric Design; Post-Anthropocene Design,—,,,,,,,,,,,,
,,,,Actor-Network Theory (ANT),—,,,,,,,,,,,,
,,,,Agentic Design; Agency-Oriented Design; Design for Agency,—,,,,,,,,,,,,
,,,,Non-Human Design; Design for Non-Humans; Non-Human Agents,—,,,,,,,,,,,,
,,,,Coexistence Design,—,,,,,,,,,,,,
,,,,Sympoietic Design; Sympoiesis,—,,,,,,,,,,,,
,,,,New Realism Design; New Realism,—,,,,,,,,,,,,
,,,,Relational Ontology Design,—,,,,,,,,,,,,
,,,,Speculative More-than-Human Design,—,,,,,,,,,,,,
,,Relations,Design for and with Objects/Things,The Object,—,,,,,,,,,,,,
,,,,Object Theory; Objecthood,—,,,,,,,,,,,,
,,,,Objectness,—,,,,,,,,,,,,
,,,,Thing Theory; Thingness,—,,,,,,,,,,,,
,,,,Object-Oriented Ontology (OOO),—,,,,,,,,,,,,
,,,,Object-Oriented Design,—,,,,,,,,,,,,
,,,,Object-Centred Design; Object-Based Design,—,,,,,,,,,,,,
,,,,Thing-Centred Design,—,,,,,,,,,,,,
,,,,Design for Things,—,,,,,,,,,,,,
,,,,Design with Things,—,,,,,,,,,,,,
,,,,Object Ecology Design,—,,,,,,,,,,,,
,,,,Post-Object Design,—,,,,,,,,,,,,
,,,"Self, Identity & Alterity",The Self; Selfhood; Self-Identity,—,,,,,,,,,,,,
,,,,Self-Object Relationship,—,,,,,,,,,,,,
,,,,Otherness; Alterity,—,,,,,,,,,,,,
,,,,Xenodesign; Xenodesign Epistemology,—,,,,,,,,,,,,
,,,,Self-Identity Design,—,,,,,,,,,,,,
,,,,Self-Expression Design,—,,,,,,,,,,,,
,,,,Self-Presentation Design,—,,,,,,,,,,,,
,,,,Extended Self Design,—,,,,,,,,,,,,
,,,,Identity Design; Personal Identity Design,—,,,,,,,,,,,,
,,,,Cultural Identity Design,—,,,,,,,,,,,,
,,,,Collective Identity Design; Community Identity Design; Group Identity Design; National Identity Design,—,,,,,,,,,,,,
,,,,Neo-Tribalism; New Tribalism; New Tribalism Design,—,,,,,,,,,,,,
,,,Relational Design,Relational Design; Relational-Oriented Design; Design for Relations; Design for Relationality,—,,,,,,,,,,,,
,,,,Design for Connection,—,,,,,,,,,,,,
,,,,Design for Closeness,—,,,,,,,,,,,,
,,,,Design for Disconnection,—,,,,,,,,,,,,
,,,,Design for Reconnection,—,,,,,,,,,,,,
,,,,Design for Re-Attachment,—,,,,,,,,,,,,
,,,,Proximal Design; Proximity Design; Proximal-Oriented Design,—,,,,,,,,,,,,
,,,,Distal Design; Distal-Oriented Design; Distant Design,—,,,,,,,,,,,,
,,,Translational & Mediational Design,Design Translation; Translation in Design,—,,,,,,,,,,,,
,,,,Translational Design,—,,,,,,,,,,,,
,,,,Design as Interface; Design-as-Interface,—,,,,,,,,,,,,
,,,,Design as Mediation; Mediation Design,—,,,,,,,,,,,,
,,,,Design as Communication,—,,,,,,,,,,,,
,Group 24,"Business, Enterprise & Strategy",Enterprise & Strategy,Business Design; Business Model Design,—,,,,,,,,,,,,
,,,,Enterprise Design; Design for Enterprise,—,,,,,,,,,,,,
,,,,Strategic Design; Design Strategy; Design-Led Strategy; Design-Driven Strategy,—,,,,,,,,,,,,
,,,,Business Process Design,—,,,,,,,,,,,,
,,,,Design-Driven Competitiveness; Competitiveness through Design,—,,,,,,,,,,,,
,,,,Design-Driven Growth; Design-Led Growth,—,,,,,,,,,,,,
,,,Innovation & Entrepreneurship,Disruptive Design,—,,,,,,,,,,,,
,,,,Radical Design Innovation,—,,,,,,,,,,,,
,,,,Innovative Design,—,,,,,,,,,,,,
,,,,Design Innovation; Design-Driven Innovation; Design-Led Innovation,—,,,,,,,,,,,,
,,,,Design Entrepreneur; Designer-Entrepreneur,—,,,,,,,,,,,,
,,,,Design Entrepreneurship; Design Venture; Design Startup,—,,,,,,,,,,,,
,,,,Venture Design; Startup Design; Entrepreneurial Design,—,,,,,,,,,,,,
,,,,Incubator Design,—,,,,,,,,,,,,
,,,,Design Incubator; Design Incubation,—,,,,,,,,,,,,
,,,,Design Accelerator; Design Acceleration,—,,,,,,,,,,,,
,,,Value Chains & Supply Chains,Design Value; Design Return on Investment (Design ROI),—,,,,,,,,,,,,
,,,,Design Value Chain; Design Chain,—,,,,,,,,,,,,
,,,,Value-Based Design; Design for Value,—,,,,,,,,,,,,
,,,,Design-Driven Value Creation; Value Creation by Design; Creating Value through Design,—,,,,,,,,,,,,
,,,,Value-Added Design,—,,,,,,,,,,,,
,,,,Shared Value Design (SVD); Creating Shared Value (CSV),—,,,,,,,,,,,,
,,,,Design for Supply Chain (DFSC); Design for Distribution (DFD); Design for Logistics (DFL),—,,,,,,,,,,,,
,,,,Design-to-Delivery (D2D),—,,,,,,,,,,,,
,,,Design Path & Dependence,Design Path Dependence; Path-Dependent Design,—,,,,,,,,,,,,
,,,,Design Lock-In,—,,,,,,,,,,,,
,,,,Design Inertia,—,,,,,,,,,,,,
,,,,Design Legacy,—,,,,,,,,,,,,
,,,Organisational Design & Leadership,Organisational Design; Organisation Design,—,,,,,,,,,,,,
,,,,Organisational Transformation Design; Organisational Change Design,—,,,,,,,,,,,,
,,,,Workflow Design; Workflow-Oriented Design,—,,,,,,,,,,,,
,,,,Design Leadership; Leading by Design,—,,,,,,,,,,,,
,,,Enterprise digital management,Product Lifecycle Management (PLM),—,,,,,,,,,,,,
,,,,Product Data Management (PDM),—,,,,,,,,,,,,
,,,,Enterprise Resource Planning (ERP),—,,,,,,,,,,,,
,,,,Manufacturing Execution System (MES),—,,,,,,,,,,,,
,,,,Customer Relationship Management (CRM),—,,,,,,,,,,,,
,,,,Supply Chain Management (SCM),—,,,,,,,,,,,,
,,,,Design Lifecycle Management (DLM),—,,,,,,,,,,,,
,,,,Engineering Lifecycle Management (ELM),—,,,,,,,,,,,,
,,Brand & Market,Branding & Identity,Brand Design; Branding,—,,,,,,,,,,,,
,,,,Brand Identity Design,—,,,,,,,,,,,,
,,,,Corporate Identity (CI); Corporate Identity System (CIS),Visual Identity (VI); Behaviour Identity (BI); Mission Identity (MI),,,,,,,,,,,,
,,,,Brand Experience Design; Brand Experience,—,,,,,,,,,,,,
,,,,Logo Design,Brand Mark Design; Symbol Design; Wordmark Design; Logotype Design; Dynamic Logo Design; Responsive Logo Design,,,,,,,,,,,,
,,,,Typography Design; Typographic Design,Typeface Design; Font Design; Kinetic Typography Design; Variable Font Design,,,,,,,,,,,,
,,,,Icon Design,—,,,,,,,,,,,,
,,,,Personal Branding,—,,,,,,,,,,,,
,,,,Brand-Driven Design; Brand-Led Design,—,,,,,,,,,,,,
,,,,Brand Communication Design,—,,,,,,,,,,,,
,,,,Brand Architecture,—,,,,,,,,,,,,
,,,Marketing & Advertising,Marketing Design; Design for Marketing,—,,,,,,,,,,,,
,,,,Integrated Marketing Communication (IMC),—,,,,,,,,,,,,
,,,,Interactive Marketing,—,,,,,,,,,,,,
,,,,Advertising Design; Ad Design,—,,,,,,,,,,,,
,,,,Campaign Design,—,,,,,,,,,,,,
,,,,Merchandising Design; Visual Merchandising; Retail Merchandising; Window Display Design,—,,,,,,,,,,,,
,,,,Marketing Communication; Advertising Communication,—,,,,,,,,,,,,
,,,,Digital Advertising Design; Programmatic Advertising Design,—,,,,,,,,,,,,
,,,,Experiential Marketing Design; Live Marketing Design,—,,,,,,,,,,,,
,,,,Ambient Advertising Design; Guerrilla Advertising Design,—,,,,,,,,,,,,
,,,,Out-of-Home (OOH) Advertising Design; Outdoor Advertising Design,—,,,,,,,,,,,,
,,,Market & Trends,Market Segmentation,Demographic Segmentation; Geographic Segmentation; Psychographic Segmentation; Behavioural Segmentation,,,,,,,,,,,,
,,,,Target Market,—,,,,,,,,,,,,
,,,,Niche Market,—,,,,,,,,,,,,
,,,,Opportunity-Driven Design; Blue Ocean Design,—,,,,,,,,,,,,
,,,,Market-Driven Design,—,,,,,,,,,,,,
,,,,New Product Development (NPD); Product Design and Development,—,,,,,,,,,,,,
,,,,Design Trends,—,,,,,,,,,,,,
,,,,Trend-Setting Design; Style-Leading Design; Fashion-Forward Design,—,,,,,,,,,,,,
,,,,Economy-Driven Design,—,,,,,,,,,,,,
,,,,Cost-Driven Design; Cost-Oriented Design,—,,,,,,,,,,,,
,,,,Cost-Effective Design; Cost-Performance Design,—,,,,,,,,,,,,
,,,,Go-To-Market (GTM) Design,—,,,,,,,,,,,,
,,,,Design Launch,—,,,,,,,,,,,,
,,,,Design Go-Live,—,,,,,,,,,,,,
,,,,Design Deployment,—,,,,,,,,,,,,
,,,,Design Rollout; Phased Design Rollout,—,,,,,,,,,,,,
,,,,Market Research for Design,—,,,,,,,,,,,,
,,,Commercialisation & Capital-Oriented Design,Commercial Design; Design for Commerce,—,,,,,,,,,,,,
,,,,Design Commercialism,—,,,,,,,,,,,,
,,,,Design Commercialisation,—,,,,,,,,,,,,
,,,,Design Commodification,—,,,,,,,,,,,,
,,,,Capital-Oriented Design; Capital-Driven Design,—,,,,,,,,,,,,
,,,,Profit-Oriented Design; Profit-Driven Design,—,,,,,,,,,,,,
,,,,Design Capital; Design as Capital,—,,,,,,,,,,,,
,,,,Speculative Capitalism and Design,—,,,,,,,,,,,,
,,,Packaging,Packaging Design; Package Design,—,,,,,,,,,,,,
,,,,Structural Packaging Design,—,,,,,,,,,,,,
,,,,Brand Packaging Design,—,,,,,,,,,,,,
,,,,Visual Packaging Design; Graphic Packaging Design,—,,,,,,,,,,,,
,,,,User-Centred Packaging Design; Experience Packaging Design,—,,,,,,,,,,,,
,,,,Sustainable Packaging Design; Eco-Packaging Design; Green Packaging Design,—,,,,,,,,,,,,
,,,,Circular Packaging Design; Recyclable Packaging Design,—,,,,,,,,,,,,
,,,,Minimal Packaging Design; Low-Impact Packaging Design,—,,,,,,,,,,,,
,,,,Smart Packaging Design; Intelligent Packaging Design; Connected Packaging Design,—,,,,,,,,,,,,
,,,,Packaging System Design; Packaging Lifecycle Design,—,,,,,,,,,,,,
,,,,Packaging for E-Commerce; Logistics Packaging Design,—,,,,,,,,,,,,
,,Cultural & Creative Design,Creative Economy & Strategy,Creative Economy,—,,,,,,,,,,,,
,,,,Cultural Economics,—,,,,,,,,,,,,
,,,,Design for the Creative Economy; Creative Economy Design,—,,,,,,,,,,,,
,,,,Creative Industries; Cultural & Creative Industries (CCI),—,,,,,,,,,,,,
,,,,Cultural & Creative Design,—,,,,,,,,,,,,
,,,,Cultural Branding; Cultural Branding Design,—,,,,,,,,,,,,
,,,,Creative Clusters,—,,,,,,,,,,,,
,,,,Creative Hubs,—,,,,,,,,,,,,
,,,,Creative City,—,,,,,,,,,,,,
,,,,Creative Strategy,—,,,,,,,,,,,,
,,,,Orange Economy,—,,,,,,,,,,,,
,,,Cultural Product & Tradition Revitalisation,Cultural & Creative Product Design,—,,,,,,,,,,,,
,,,,Tradition Revitalisation Design; Traditional Revival Design,—,,,,,,,,,,,,
,,,,Neo-Traditional Design,—,,,,,,,,,,,,
,,,,Heritage-Inspired Design; History-Inspired Design; Historical Design,—,,,,,,,,,,,,
,,Service,Service Science & Theory,"Service Science; Service Science, Management & Engineering (SSME)",—,,,,,,,,,,,,
,,,,Service System,—,,,,,,,,,,,,
,,,,Service Ecosystem,—,,,,,,,,,,,,
,,,,Service-Dominant Logic (S-D Logic),—,,,,,,,,,,,,
,,,,Service Logic,—,,,,,,,,,,,,
,,,,Resource Integration (RI),—,,,,,,,,,,,,
,,,,Service Research; Service Research Priorities (SRP),—,,,,,,,,,,,,
,,,,Service Thinking,—,,,,,,,,,,,,
,,,Service Design,Service Design,—,,,,,,,,,,,,
,,,,Service Process Design; Service Flow Design,—,,,,,,,,,,,,
,,,,Service Blueprint,—,,,,,,,,,,,,
,,,,Customer Journey Map; User Journey Map,—,,,,,,,,,,,,
,,,,Touchpoint Design; Touchpoint Mapping; Touchpoint Analysis,—,,,,,,,,,,,,
,,,,Stakeholder Design; Multistakeholder Design,—,,,,,,,,,,,,
,,,,Process Design; Process-Oriented Design,—,,,,,,,,,,,,
,,,Product-Service Systems (PSS),Product-Service System (PSS); Product Service System,—,,,,,,,,,,,,
,,,,Product-Service System (PSS) Business Model; Product-Service System (PSS) Strategy,—,,,,,,,,,,,,
,,,,Product-Oriented Product-Service System (PSS),—,,,,,,,,,,,,
,,,,Use-Oriented Product-Service System (PSS),—,,,,,,,,,,,,
,,,,Result-Oriented Product-Service System (PSS),—,,,,,,,,,,,,
,,,,Product-Service System (PSS) Design,—,,,,,,,,,,,,
,,,,Product Ecosystem; Product Ecosystem Design,—,,,,,,,,,,,,
,,,,Product-Service System (PSS) Ecosystem,—,,,,,,,,,,,,
,,,Servitisation & Service Models,Servitisation,—,,,,,,,,,,,,
,,,,Servitised Product; Servitisation in Products,—,,,,,,,,,,,,
,,,,As-a-Service Model,—,,,,,,,,,,,,
,,,,Product-as-a-Service (PaaS),—,,,,,,,,,,,,
,,,,Anything-as-a-Service (XaaS),—,,,,,,,,,,,,
,,,,Everything-as-a-Service (EaaS),—,,,,,,,,,,,,
,,,,Service Transformation,—,,,,,,,,,,,,
,,,,Digital Servitisation,—,,,,,,,,,,,,
,,,,Service Modularisation; Service Platformisation,—,,,,,,,,,,,,
,,Industrial Design,Industrial Design,Industrial Design (ID); Product Design,—,,,,,,,,,,,,
,,,,Classical Industrial Design; Traditional Industrial Design,—,,,,,,,,,,,,
,,,,Neo-Industrial Design; Neoindustrial Design,—,,,,,,,,,,,,
,,,,Post-Industrial Design; Postindustrial Design,—,,,,,,,,,,,,
,,,,CMF (Colour-Material-Finish) Design,—,,,,,,,,,,,,
,Group 25,User & Consumer Research,Consumer Research,Consumer Studies,—,,,,,,,,,,,,
,,,,Consumer Research,—,,,,,,,,,,,,
,,,,Consumer Behaviour,—,,,,,,,,,,,,
,,,,Consumer Decision-Making; Consumer Decision Styles; Consumer Decision Heuristics,—,,,,,,,,,,,,
,,,,Voice of Customer (VoC),—,,,,,,,,,,,,
,,,,Consumer Culture,—,,,,,,,,,,,,
,,,,Consumer Insights,—,,,,,,,,,,,,
,,,,Consumer Psychology,—,,,,,,,,,,,,
,,,,Consumer Attitude; Attitude Formation; Attitude Change,—,,,,,,,,,,,,
,,,,Customer Sentiment; Customer Emotion,—,,,,,,,,,,,,
,,,,Consumer Motivation,—,,,,,,,,,,,,
,,,,Consumer Perception,—,,,,,,,,,,,,
,,,,Consumer Preference,—,,,,,,,,,,,,
,,,,Consumer Satisfaction,—,,,,,,,,,,,,
,,,,Consumer-Brand Relationship,—,,,,,,,,,,,,
,,,,Consumer Loyalty; Brand Loyalty,—,,,,,,,,,,,,
,,,,Consumer Trust; Brand Trust,—,,,,,,,,,,,,
,,,,Consumer Voice,—,,,,,,,,,,,,
,,,,Consumer Participation,—,,,,,,,,,,,,
,,,,Consumer Engagement,—,,,,,,,,,,,,
,,,,Consumer Happiness; Consumer Well-Being,—,,,,,,,,,,,,
,,,User Value,Perceived Value; Customer Perceived Value,—,,,,,,,,,,,,
,,,,Value Proposition,—,,,,,,,,,,,,
,,,,Value Proposition Design,—,,,,,,,,,,,,
,,,,Value-Centred Design,—,,,,,,,,,,,,
,,,Innovation Adoption & Diffusion,Diffusion of Innovation (DOI),—,,,,,,,,,,,,
,,,,Innovation Adoption,—,,,,,,,,,,,,
,,,,Adoption Curve; Adoption Lifecycle,—,,,,,,,,,,,,
